eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.64,0.2,0.08,0.08,0.12300322916845612,0.717948717948718,0.16662431284789714,0.7361111111111112,0.18809858032783322,0.6888888888888889
0.67,0.21,0.12,0.0,0.11061024368842351,0.7350427350427351,0.14205140186155973,0.7361111111111112,0.18002242286286083,0.7333333333333333
0.64,0.2,0.12,0.04,0.11581378147880046,0.7350427350427351,0.15273228512069045,0.7361111111111112,0.1833638869300349,0.7333333333333333
0.62,0.19,0.11,0.08,0.11988013087344211,0.7350427350427351,0.1607289263327632,0.7361111111111112,0.18638895687951046,0.7333333333333333
0.64,0.2,0.16,0.0,0.10692249507838866,0.7350427350427351,0.13587805978570217,0.7222222222222222,0.17684826669061535,0.7555555555555555
0.62,0.19,0.15,0.04,0.11140156950563078,0.7435897435897436,0.14473141502879885,0.7361111111111112,0.1800056407238782,0.7555555555555555
0.6,0.18,0.15,0.07,0.11351390364998645,0.7435897435897436,0.14836061718053814,0.7361111111111112,0.18291152266601426,0.7555555555555555
0.66,0.26,0.08,0.0,0.11417238902903083,0.7264957264957265,0.14864231319399146,0.7361111111111112,0.18397295304393863,0.7111111111111111
0.64,0.25,0.08,0.04,0.11846414564036163,0.7264957264957265,0.15708520755311517,0.7361111111111112,0.18715379058089293,0.7111111111111111
0.61,0.24,0.08,0.08,0.12272547310182899,0.7094017094017094,0.16503866826915098,0.7361111111111112,0.19013682524265288,0.6666666666666666
0.64,0.25,0.12,0.0,0.11043755201143753,0.7350427350427351,0.14094829274271134,0.7361111111111112,0.18270387970444196,0.7333333333333333
0.61,0.24,0.11,0.04,0.11517207821923638,0.7350427350427351,0.15042113717697284,0.7361111111111112,0.18569591203029157,0.7333333333333333
0.59,0.23,0.11,0.07,0.12010740526238202,0.7350427350427351,0.16029530632126887,0.7361111111111112,0.18839574195234599,0.7333333333333333
0.61,0.24,0.15,0.0,0.10875714281447177,0.7350427350427351,0.1383846301497782,0.7222222222222222,0.1805084331891989,0.7555555555555555
0.59,0.23,0.15,0.04,0.11318211188501366,0.7435897435897436,0.14691061150383705,0.7361111111111112,0.1834561742589673,0.7555555555555555
0.57,0.22,0.14,0.07,0.11638674111954792,0.7435897435897436,0.15311670807277328,0.7361111111111112,0.18612888731834062,0.7555555555555555
0.63,0.29,0.08,0.0,0.11496687236011503,0.7264957264957265,0.14937967372119892,0.75,0.18625579690340707,0.6888888888888889
