,equity_core,btc_trend,defensive,wd_mom
2023-08-11,-0.006429612262060465,-0.0073714781934115965,,-0.0024826991935052493
2023-08-12,2.1164305799993047e-06,-0.0009683969152944848,,-0.001492472002480491
2023-08-13,2.1164305799993047e-06,1.2553725793722757e-05,,0.0013179775247568715
2023-08-14,0.0030038666828474266,0.00010756893047111273,0.005337320760825079,-0.00382834860487987
2023-08-15,-0.00013431958249184264,0.0005914300584857386,-0.003279671685781256,0.0007049262920430495
2023-08-16,-0.006663059429967729,-0.0010685601248589733,0.002418238581570739,-0.011145288397689702
2023-08-17,-0.001981090732199408,-0.000978823795191143,-0.0003442306752544606,-0.013342081579046266
2023-08-18,-0.01452628317889021,-0.004516628145558373,0.004153791403394299,-0.04132944483659049
2023-08-19,2.784340449124589e-06,0.00018425011840180635,1.6281046106713381e-06,0.0010895227057877688
2023-08-20,2.784340449124589e-06,0.0011163784446346571,1.6281046106713381e-06,0.0002001721980593432
2023-08-21,0.008423600630365279,0.0013967772212221637,-0.0013766352009764705,0.0009735544594660667
2023-08-22,0.0016010284650338112,-0.0006770864620884139,0.0017274323225958974,-0.003234879748238406
2023-08-23,-0.001966675490646117,-2.0056812374821885e-05,0.0024134378384284977,-0.001606913745617568
2023-08-24,0.004827201420311305,0.0007845630767903784,0.0006890604900262289,0.006759196841072218
2023-08-25,-0.006876544828751417,-0.0020221411605523404,0.0027504062957010907,-0.001027196900394503
2023-08-26,5.360008272619031e-05,0.0015084727854674986,1.4812938585363454e-06,-0.0011927559429196198
2023-08-27,5.360008272619031e-05,-0.0003118685990692846,1.4812938585363454e-06,-0.0007468722999236123
2023-08-28,0.006000301384197387,0.00025864786340999945,0.0006868787346437802,0.0016822474156723945
2023-08-29,0.0018867392023109307,0.0001292875924028237,0.002742016765659427,-0.003906319634999099
2023-08-30,0.011695854968589206,0.003252948298775169,-0.012298429801060107,0.01371235864274114
2023-08-31,0.002992720097052851,-0.02294050666863024,0.005192041917492759,-0.008438820640024335
2023-09-01,0.001777454854968545,-0.0044744144085834565,-0.0006970812607822027,-0.00442497632057123
2023-09-02,2.0659159780326177e-06,-0.0004238976207406115,0.00010304378044784965,-0.003990589643479462
2023-09-03,2.0659159780326177e-06,0.0002309213441600939,0.00010304378044784965,0.0029226481278936717
2023-09-04,2.0659159780326177e-06,0.0004667520497880696,0.00010304378044784965,0.0001958717961202458
2023-09-05,-0.004626325249250847,0.00039564628514097256,0.006522361110520179,0.0023948079325131198
2023-09-06,-0.00797573035618802,3.0173949728066682e-05,0.0010922169512926386,-0.0007696192953866751
2023-09-07,-0.005997844312731085,6.386629677907876e-05,0.002172570958576317,0.004982721120113269
2023-09-08,0.0030188730810678955,0.00030615004020733143,1.996565023236253e-05,0.002805462649042461
2023-09-09,2.5829933377942534e-06,0.0001820718556579742,3.1707932893218844e-05,-0.004469556388983781
2023-09-10,2.5829933377942534e-06,0.00011896182769699216,3.1707932893218844e-05,-0.0007135597992473149
2023-09-11,0.004788228538667609,-0.000309647807483837,-0.002740117687529142,-0.008122685711576977
2023-09-12,-0.004734597968953057,-0.0015637159613495464,0.002264146476666887,-0.007168139896706636
2023-09-13,0.000960275297709822,0.0006872196087400616,-0.001369011942088405,0.030716275350618546
2023-09-14,0.006829252037520249,0.00043089805404913575,0.004763356317243757,0.004372825112339029
2023-09-15,0.0005050664550587858,0.0006706883343672335,0.0016935879619332007,0.02110814890106364
2023-09-16,2.715367414836723e-06,0.0010848264529959907,1.2025611834049678e-06,0.0024066106795462053
2023-09-17,2.715367414836723e-06,0.00014225695163879186,1.2025611834049678e-06,-0.006509111206523538
2023-09-18,-0.007781746312776962,-0.0003619529165974178,-0.0006752099212312358,-0.0071970946054808775
2023-09-19,-0.001569679763645499,0.0010229284342640759,-0.0016908917848829075,0.012564289469113225
2023-09-20,0.0010547201305561302,0.0010368596098505635,1.0652487163934452e-06,0.0044100988342448705
2023-09-21,-0.013836286612640636,-0.005894721449272521,0.005084050453556735,-0.005015850743747208
2023-09-22,-0.009728180382969983,-0.021308250422595005,0.0010125257191942701,-0.016178612809560008
2023-09-23,2.7812112010923423e-06,,1.1108373785465153e-06,6.904361020177982e-05
2023-09-24,2.7812112010923423e-06,,1.1108373785465153e-06,0.018586748980366535
2023-09-25,-0.007153335558353045,,0.003033802390603839,-0.01861191650871564
2023-09-26,-0.0016562136540772619,-0.004818459293775277,0.001344990582358455,0.04248883834467608
2023-09-27,-0.003676038135164461,6.427633232908249e-05,0.004700076508713112,-0.009517784013493026
2023-09-28,-0.0017035893070481008,0.0015206844272320288,-0.0013357607501509145,0.015029248837564223
2023-09-29,0.00929033325829843,-0.014833281978046649,-0.003681576437319163,0.008488450350358862
2023-09-30,0.00010808955349508229,,7.694443912921195e-07,0.00648761573566095
2023-10-01,0.0001111730385622569,,7.913944337694295e-07,0.001814170230827773
2023-10-02,-0.013933974417747868,,0.006719709615080871,0.004584670661399211
2023-10-03,-0.005934646842261641,,0.005004296949907739,-0.010454170511001941
2023-10-04,-0.0034158374758080728,,-0.0036529642874530512,-0.004480848881980558
2023-10-05,0.0025909716961221405,0.0024516604393514203,-0.0010000890892326334,0.0036538679338497197
2023-10-06,-0.0034103289487352442,-0.007248764184800924,0.0016693382266507503,-0.00511354283185063
2023-10-07,0.00010934703781158376,0.01390666113860379,7.209195504836967e-07,0.001447702880085525
2023-10-08,0.00010934703781158376,-0.006087027334097076,7.209195504836967e-07,-0.005389239594645187
2023-10-09,0.007383755080114857,-0.005908625625154025,-0.0029976076532731177,-0.0016396313975171883
2023-10-10,0.011912661496466834,-0.025418002802320764,-0.0036758119537396807,-0.017800679164357854
2023-10-11,0.005590621610605471,-0.0012518512537844006,-0.002346710682062897,-0.002882184839186299
2023-10-12,-0.0008736733160460426,-0.011559101202028655,0.0040327640097127795,7.662341481934996e-05
2023-10-13,-0.004836433955835535,,0.005019281430183127,-0.006569460382545516
2023-10-14,5.078237164706574e-06,,9.146596424008987e-07,0.004760134724642939
2023-10-15,5.078237164706574e-06,,9.146596424008987e-07,0.0003341320011525
2023-10-16,0.0014592140210183749,,-0.0013313460181809862,0.001574099853585258
2023-10-17,-0.0015969032878229762,0.019696127789152425,0.00033421057061857153,0.021668909360152883
2023-10-18,0.0036332098029814314,-0.01498269352671815,6.545692293100687e-07,-0.007676086424524899
2023-10-19,-0.004237631305900416,-0.006563862610652782,0.0003342511146242284,-0.0020282373222190305
2023-10-20,-0.006592102946482583,0.011714482320061378,0.002779383609455569,0.008617627487318329
2023-10-21,0.00010165536167770867,0.015325504663724902,7.280763573087917e-07,0.026393275423802137
2023-10-22,0.00010165536167770867,0.026509674047812678,7.280763573087917e-07,0.019802071781358056
2023-10-23,-0.007409000370181004,0.017841850775267367,0.00013341813546470857,-0.0011790704048902328
2023-10-24,0.008253109880152052,0.05439208945636974,-0.003332104781560429,0.03507687270224319
2023-10-25,-0.0022400334980210916,,0.0054969452126906624,-0.004880181640560246
2023-10-26,-0.012336431563654594,,0.0011192934450799286,0.013182965493744547
2023-10-27,-0.0007280329812716399,,-0.00032206395046442844,0.0002588341492047509
2023-10-28,6.966635751397267e-05,-0.008757617895998337,4.77450856599816e-07,-0.005427008871478487
2023-10-29,6.966635751397267e-05,0.0050274502183934614,4.77450856599816e-07,-0.0041269808157358995
2023-10-30,-0.0029509639125622792,0.00851235192916167,0.002276957179549528,0.0075270043137340625
2023-10-31,0.0024841231056988993,0.007988042955261843,-5.214994051989007e-05,0.010679062112467714
2023-11-01,0.011220915494076212,-0.0027519878214583614,0.0023480908005414827,0.01671642716168267
2023-11-02,0.028073210460457295,0.01619556136968988,-0.0064261921947374925,0.01471417528846805
2023-11-03,0.016518795358884095,-0.0013648911607802012,-0.003930718194751401,-0.011173928786815742
2023-11-04,5.788745748134853e-06,0.0034654879311020164,2.271135943588179e-07,0.003355053994380127
2023-11-05,5.788745748134853e-06,0.007052088888196475,2.271135943588179e-07,0.011044870673250436
2023-11-06,0.00891831182657619,0.016189140855127977,-0.0019667986711623263,0.004989400390382222
2023-11-07,-0.002711506251032669,0.026283346244214773,0.0008842759516467204,0.012276004771772384
2023-11-08,0.0028256570115725273,-0.012613435907516445,4.706679939940233e-05,0.003430008792715799
2023-11-09,0.00016134150227049658,0.005092470967906138,-0.002919249431846877,0.022450426394590075
2023-11-10,-0.004755369037862485,0.012309119715025019,0.0015050215703581382,0.0046398091655736
2023-11-11,5.0346676219768725e-06,0.010726307158638553,7.569981696569484e-07,0.04597033118429108
2023-11-12,5.0346676219768725e-06,0.011636250807026651,7.569981696569484e-07,0.019464766798367707
2023-11-13,0.005449840756653761,0.0034670842974079755,-0.0016878418949380339,0.008486801279262131
2023-11-14,0.01335115837141207,-0.027576043595325672,-0.004009081688991717,-0.02852648872229792
2023-11-15,0.007688969528386152,-0.014194625949769672,-0.0015926474602859194,0.011288509818661007
2023-11-16,-0.002207508519392318,0.043807202199471026,0.0014937724018974654,0.03703583898504561
2023-11-17,0.004462852250920101,-0.02030757433451202,-0.0011786918150234345,-0.011989465073092688
2023-11-18,3.667372886039429e-06,0.003842219211522117,1.1600429601496776e-06,0.0011252682298062038
2023-11-19,3.667372886039429e-06,-0.0014712064967104697,1.1600429601496776e-06,-0.0013409716546231183
2023-11-20,-0.0024287213458265788,0.011856141742126366,-0.0062847144901289065,0.0084124355138135
2023-11-21,0.005648652764413374,-0.006342480170084134,0.017394153971347075,-0.017279780652420286
2023-11-22,0.0030582042654517523,-0.03430845417189741,-0.0005343151225035502,-0.02234152948672594
2023-11-23,3.679401090378434e-06,0.029402607781984228,1.3966986109964328e-06,0.02403273379709503
2023-11-24,0.001846467923013583,0.0012017093816752743,4.441186171945933e-07,-0.0024487281543330817
2023-11-25,3.3212755960497143e-06,0.003459916223328887,9.884335750027618e-07,0.003198430408215228
2023-11-26,3.3212755960497143e-06,0.004108016929475568,9.884335750027618e-07,0.006274708409448399
2023-11-27,0.000255208794311328,-0.0041562440410759845,0.005849959307337941,-0.0027604759603705705
2023-11-28,-0.002473101450947839,-0.007034426573773937,0.007149476614927368,-0.009814878065586808
2023-11-29,0.0058831265635069085,0.006475637184664046,0.006678842855118988,0.008393251840387599
2023-11-30,0.00028720277010269756,-0.0013957607403311655,-0.0014221503524630907,0.0034897296890834244
2023-12-01,0.0032313271124942743,0.0025456943835595316,-0.0004220950217209724,0.0006622574400656609
2023-12-02,2.7756350767830764e-06,0.006804449195538728,5.445578648768251e-07,0.006029993120637303
2023-12-03,2.7756350767830764e-06,0.008998928920475494,5.445578648768251e-07,0.005221195651293482
2023-12-04,0.001183931059207034,-8.626412317955229e-05,0.004173191251007781,-0.002268239624165669
2023-12-05,0.0008878083879637598,0.010887785059516165,-0.010781475739203105,0.01376124595873155
2023-12-06,0.003919241548529408,0.010989565898844329,0.00409638572577377,0.014278374243905947
2023-12-07,-0.0019018089502145165,0.0024276891899440646,0.0006882485593440795,0.009767948295912867
2023-12-08,-0.0004878107037506639,0.008657775365880905,-0.01333064759389444,0.0019588668294674106
2023-12-09,2.1652708061689424e-06,0.03459255338773765,6.464844288221429e-07,0.029648157474548235
2023-12-10,2.1652708061689424e-06,0.00024706754383838276,6.464844288221429e-07,0.014564673964365905
2023-12-11,0.006307100035641417,0.011251941523304282,-0.00766735966066096,0.026343837095901657
2023-12-12,0.004862452577871363,-0.021558430880537324,-0.003560700725153229,-0.006788783032975257
2023-12-13,0.0018527351802567517,0.005538574682871977,,0.005262914161921402
2023-12-14,0.018760260313626223,0.013538018826422834,,0.02883890980626863
2023-12-15,-0.004063611648824989,0.0034869412622788288,,-0.0045278991345532715
2023-12-16,1.4710068452086604e-06,-0.019114593344050596,,-0.00853783743489156
2023-12-17,1.4710068452086604e-06,0.008097204925542861,,0.011515164319190004
2023-12-18,0.0073863526079936785,-0.013010295376979461,-0.005378524358818116,-0.011912782869028093
2023-12-19,0.0023943321253967966,0.008036371322628442,0.0038723007565231063,0.007520751305201315
2023-12-20,0.002971501910184796,-0.00501774423105161,0.002429610511676437,-0.011106139304987266
2023-12-21,-0.006123265694973906,0.015234485719532995,0.00274078903794841,0.017207854809382767
2023-12-22,0.004021123823015229,0.025252444950216363,0.012561767542805826,0.019647982488195367
2023-12-23,4.669985906564735e-20,0.002638806267915024,1.17867249110204e-06,-0.004740615288141417
2023-12-24,4.669985906564735e-20,0.0040474029313982115,1.17867249110204e-06,0.014283461483255062
2023-12-25,4.669985906564735e-20,-0.005097690595553255,1.17867249110204e-06,0.0001883689478826216
2023-12-26,0.000678531610943137,0.012930159112058696,,0.014137772906578056
2023-12-27,0.0030502717107876005,-0.004740322647169899,0.004173550494949907,-0.017101652456763466
2023-12-28,0.003006634070766974,0.01502536631060104,0.0029614366873279324,-0.005264058265775221
2023-12-29,-0.000234999160949643,-0.008788802544491938,-0.00699388473727752,-0.013300943575472235
2023-12-30,9.33997181312947e-20,-0.006677178270107355,7.28128071456694e-07,0.004058781553756722
