,ret_gross,ret_net,cost,gross_exposure,turnover,nav_gross,nav_net
2019-03-01,-0.0025887921602011483,-0.0027115806902188884,0.00012278853001774004,0.9938279855284762,0.4823028052973525,0.990947383338237,0.9877786895348437
2019-03-02,0.00021090532112786288,0.00020755098628358988,3.354334844272995e-06,0.9922674089243255,0.0015605766041505362,0.9911563794143408,0.9879837039760866
2019-03-03,-5.6956177563430805e-05,-7.511723265946679e-05,1.8161055096035977e-05,0.9941619690295163,0.008634084708920148,0.9910999269356018,0.9879094893743312
2019-03-04,-0.0006645446355619801,-0.000784860226350565,0.0001203155907885849,0.9955997985265069,0.4881086889685785,0.9904412967958509,0.987134118508887
2019-03-05,-0.006036613453588406,-0.00613167380807184,9.506035448343418e-05,0.9934736560152351,0.3313550163378748,0.9844623855386235,0.9810813340893719
2019-03-06,-0.009858940651315299,-0.010075195392868105,0.00021625474155280644,0.9934433420614255,0.1854849305362747,0.9747566293061459,0.9711967479521258
2019-03-07,-0.005641165602358339,-0.005856577736353131,0.00021541213399479297,0.992926286847776,0.18493756136881553,0.9692578657382332,0.9655088587004508
2019-03-08,-0.007097702658111361,-0.0070994394348519166,1.7367767405547142e-06,0.9920006233017444,0.003078501609000909,0.9623783616081876,0.9586542870342939
2019-03-09,-0.00039792546328189465,-0.00040410233396707306,6.176870685178399e-06,0.9946542036977557,0.0026535803960111588,0.9619954067527922,0.9582668925994359
2019-03-10,0.0005862981262871143,0.0005706415239882936,1.565660229882068e-05,0.9918812770405401,0.006903823530854856,0.9625594228572683,0.9588137194794164
2019-03-11,0.010204737994495098,0.010093496767841409,0.00011124122665368847,0.9883015434564317,0.32269200165503753,0.9723820895716592,0.9684915026579439
2019-03-12,0.01005385825147514,0.009945643837927816,0.00010821441354732437,0.9903562579753925,0.3205183809983865,0.9821582812664857,0.9781237742034393
2019-03-13,0.003767995014280444,0.003756131587361466,1.1863426918977896e-05,0.9916052382990292,0.03446770525078724,0.985859048773532,0.9817977358080742
